"Title","Year","Album.debut","Duration","Other.releases","Genre","Songwriter","Lead.vocal","Top.50.Billboard"
"Day Tripper",1965,"UK: A Collection of Beatles Oldies US: Yesterday and Today",170,20,"Rock, Pop/Rock","Lennon, with McCartney","Lennon and McCartney",29
"Dear Prudence",1968,"The Beatles",236,9,"Rock, Pop/Rock","Lennon","Lennon",NA
"Devil in Her Heart",1963,"UK: With the Beatles US: The Beatles Second Album",147,11,"Rock, Pop/Rock","Drapkin (aka Ricky Dee)","Harrison",NA
"Dig a Pony",1969,"Let It Be",232,12,"Blues Rock, Pop/Rock","Lennon","Lennon",NA
"Dig It",1969,"Let It Be",51,10,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey","Lennon",NA
"Dizzy, Miss Lizzy",1965,"UK: Help! US: Beatles VI",145,18,"Rock and Roll, Pop/Rock","Williams","Lennon",NA
"Do You Want to Know a Secret?",1963,"UK: Please Please Me US: The Early Beatles",116,23,"Pop/Rock","Lennon","Harrison",26
"Doctor Robert",1966,"UK: Revolver US: Yesterday and Today",135,6,"Psychedelic Rock, Power Pop, Pop/Rock","Lennon, with McCartney","Lennon",NA
"Don't Bother Me",1963,"UK: With the Beatles US: Meet The Beatles!",149,11,"Rock and Roll, Pop/Rock","Harrison","Harrison",NA
"Don't Ever Change",1963,"Live at the BBC",123,NA,"Pop/Rock","Goffin, King","Harrison",NA
"Don't Let Me Down",1969,"UK: 1967-1970 US: Hey Jude",215,17,"Blues Rock, Pop/Rock","Lennon","Lennon",NA
"Don't Pass Me By",1968,"The Beatles",231,11,"Country Rock, Pop/Rock","Starkey","Starkey",NA
"Drive My Car",1965,"UK: Rubber Soul US: Yesterday and Today",148,17,"Rock, R&B, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA
"Eight Days a Week",1964,"UK: Beatles for Sale US: Beatles VI",164,23,"Rock, Pop/Rock","McCartney, with Lennon","Lennon, with McCartney",21
"Eleanor Rigby",1966,"Revolver",128,16,"Baroque Pop, Art Rock, Pop/Rock","McCartney","McCartney",38
"Etcetera",1968,"",NA,NA,"Pop/Rock","McCartney","McCartney",NA
"Every Little Thing",1964,"UK: Beatles for Sale US: Beatles VI",121,9,"Rock, Pop/Rock","McCartney","Lennon, with McCartney",NA
"Everybody's Got Something to Hide Except Me and My Monkey",1968,"The Beatles",144,10,"Hard Rock, Pop/Rock","Lennon","Lennon",NA
"Everybody's Trying to Be My Baby",1964,"UK: Beatles for Sale US: Beatles '65",143,21,"Rock and Roll, Rockabilly, Pop/Rock","Perkins","Harrison",NA
"Fancy My Chances with You",1969,"Let It Be... Naked - Fly on the Wall bonus disc",NA,NA,"Pop/Rock","?","?",NA
"Fixing a Hole",1967,"Sgt. Pepper's Lonely Hearts Club Band",146,5,"Psychedelic pop, Baroque Pop, Pop/Rock","McCartney","McCartney",NA
"Flying",1967,"Magical Mystery Tour",137,12,"Psychedelic Rock, Instrumental Rock, Space Rock, Pop/Rock","Lennon, McCartney, Harrison and Starkey","N/A",NA
"For No One",1966,"Revolver",121,9,"Baroque Pop, Pop/Rock","McCartney","McCartney",NA
"For You Blue",1969,"Let It Be",152,13,"Country Blues, Pop/Rock, Blues","Harrison","Harrison",NA
"Free as a Bird",1977,"Anthology 1",266,NA,"Rock, Pop/Rock","Lennon, with McCartney, Harrison and Starkey","Lennon, McCartney and Harrison",39
"From Me to You",1963,"UK: A Collection of Beatles Oldies US: 1962-1966",116,34,"Merseybeat, Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA
"From Us to You",1963,"Live at the BBC",NA,2,"Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA
"Get Back",1969,"Let It Be",194,28,"Blues Rock, Pop/Rock","McCartney","McCartney",4
"Getting Better",1967,"Sgt. Pepper's Lonely Hearts Club Band",167,5,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon","McCartney",NA
"Girl",1965,"Rubber Soul",153,17,"Folk, Pop/Rock","Lennon","Lennon",NA
"Glad All Over",1963,"Live at the BBC",112,NA,"Pop/Rock","Bennett, Tepper, Schroeder","Harrison",NA
"Glass Onion",1968,"The Beatles",137,8,"Psychedelic Rock, Pop/Rock","Lennon","Lennon",NA
"Golden Slumbers",1969,"Abbey Road",91,5,"Rock, Baroque Pop, Pop/Rock","McCartney","McCartney",NA
"Good Day Sunshine",1966,"Revolver",129,7,"Sunshine Pop, Music Hall, Pop/Rock","McCartney","McCartney",NA
"Good Morning, Good Morning",1967,"Sgt. Pepper's Lonely Hearts Club Band",161,6,"Rock, Hard Rock, Pop/Rock","Lennon","Lennon",NA
"Good Night",1968,"The Beatles",191,8,"Orchestral Pop, Lullaby, Pop/Rock","Lennon","Starkey",NA
"Goodbye",1969,"",NA,NA,"Children's, Pop/Rock","McCartney","McCartney",NA
"Got to Get You into My Life",1966,"Revolver",147,8,"R&B, Rock, Jazz Fusion, Pop/Rock","McCartney","McCartney",23
"Hallelujah, I Love Her So",1960,"Anthology 1",155,NA,"Blues, Jazz, R&B, Pop/Rock","Charles","McCartney",NA
"Happiness Is a Warm Gun",1968,"The Beatles",163,7,"Pop/Rock","Lennon","Lennon",NA
"Heather",1968,"",130,NA,"Rock, Pop/Rock","McCartney","McCartney",NA
"Hello Little Girl",1962,"Anthology 1",NA,NA,"Merseybeat, Pop/Rock","Lennon","Lennon",NA
"Hello, Goodbye",1967,"Magical Mystery Tour",207,14,"Pop/Rock","McCartney","McCartney",7
"Help!",1965,"Help!",138,34,"Folk Rock, Pop/Rock","Lennon, with McCartney","Lennon",14
"Helter Skelter",1968,"The Beatles",270,13,"Hard Rock, Heavy Metal[, Proto-Punk, Pop/Rock","McCartney","McCartney",NA
"Her Majesty",1969,"Abbey Road",23,8,"Music Hall, Folk, Pop/Rock","McCartney","McCartney",NA
"Here Comes the Sun",1969,"Abbey Road",186,6,"Folk Pop, Pop/Rock","Harrison","Harrison",NA
"Here, There and Everywhere",1966,"Revolver",145,11,"Soft Rock, Pop/Rock","McCartney","McCartney",NA
"Hey Bulldog",1968,"Yellow Submarine",194,12,"Psychedelic Rock, Hard Rock, Pop/Rock","Lennon","Lennon",NA
"Hey Jude",1968,"UK: 1967-1970 US: Hey Jude",431,28,"Rock, Pop/Rock","McCartney","McCartney",1
"Hippy Hippy Shake",1963,"Live at the BBC",106,NA,"Rock & Roll, Pop/Rock","Romero","McCartney",NA
"Hold Me Tight",1963,"UK: With the Beatles US: Meet The Beatles!",152,16,"Rock & Roll, Pop/Rock","McCartney, with Lennon","McCartney",NA
"Honey Don't",1964,"UK: Beatles for Sale US: Beatles '65",173,14,"Rockabilly, Pop/Rock","Perkins","Starkey",NA
"Honey Pie",1968,"The Beatles",161,8,"Music Hall, Jazz, Ragtime, Pop/Rock","McCartney","McCartney",NA
"How Do You Do It?",1962,"Anthology 1",119,NA,"Merseybeat, Pop/Rock","Murray","Lennon",NA
"I Am the Walrus",1967,"Magical Mystery Tour",273,20,"Psychedelic Rock, Acid Rock, Experimental Rock, Pop/Rock","Lennon","Lennon",NA
"I Call Your Name",1964,"UK: Past Masters Volume 1 US: The Beatles Second Album",129,16,"Rock, Pop/Rock","Lennon","Lennon",NA
"I Don't Want to Spoil the Party",1964,"UK: Beatles for Sale US: Beatles VI",153,11,"Country Rock, Pop/Rock","Lennon","Lennon",49
"I Feel Fine",1964,"UK: A Collection of Beatles Oldies US: Beatles '65",145,35,"Rock, Pop/Rock","Lennon","Lennon",11
"I Forgot to Remember to Forget",1964,"Live at the BBC",148,NA,"Country, Pop/Rock","Stan Kesler and Charlie Feathers","Harrison",NA
"I Got a Woman",1963,"Live at the BBC",151,NA,"Jump Blues, R&B, Pop/Rock","Charles","Lennon",NA
"I Got to Find My Baby",1963,"Live at the BBC",116,NA,"Rock, Pop/Rock","Berry","Lennon",NA
"I Just Don't Understand",1963,"Live at the BBC",167,NA,"Rock, Pop/Rock","Wilkin, Westberry","Lennon",NA
"I Lost My Little Girl",1962,"",105,NA,"Rock, R&B, Pop/Rock","McCartney","Lennon",NA
"I Me Mine",1970,"Let It Be",145,10,"Folk blues, Hard Rock, Pop/Rock","Harrison","Harrison",NA
"I Need You",1965,"Help!",148,11,"Pop/Rock","Harrison","Harrison",NA
"I Saw Her Standing There",1963,"UK: Please Please Me US: Meet The Beatles!",175,42,"Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",36
"I Should Have Known Better",1964,"UK: A Hard Day's Night US: Hey Jude",164,18,"Pop/Rock","Lennon","Lennon",NA
"I Wanna Be Your Man",1963,"UK: With the Beatles US: Meet The Beatles!",103,25,"Rock and Roll, R&B, Pop/Rock","McCartney, with Lennon","Starkey",NA
"I Want to Hold Your Hand",1963,"UK: A Collection of Beatles Oldies US: Meet The Beatles!",144,34,"Rock and Roll, Pop/Rock","Lennon and McCartney","Lennon and McCartney",2
"I Want to Tell You",1966,"Revolver",149,5,"Psychedelic Rock, Pop/Rock","Harrison","Harrison",NA
"I Want You (She's So Heavy)",1969,"Abbey Road",467,5,"Blues Rock, Hard Rock, Progressive Rock, Pop/Rock","Lennon","Lennon",NA
"I Will",1968,"The Beatles",106,8,"Folk, Pop/Rock","McCartney","McCartney",NA
"I'll Be Back",1964,"UK: A Hard Day's Night US: Beatles '65",140,14,"Rock, Pop/Rock","Lennon","Lennon, with McCartney",NA
"I'll Be on My Way",1963,"Live at the BBC",118,NA,"Pop/Rock","McCartney","Lennon",NA
"I'll Cry Instead",1964,"UK: A Hard Day's Night US: Something New",129,14,"Rock and Roll, Country, Pop/Rock","Lennon","Lennon",43
"I'll Follow the Sun",1964,"UK: Beatles for Sale US: Beatles '65",106,17,"Folk Rock, Country, Pop/Rock","McCartney","McCartney, with Lennon",NA
"I'll Get You",1963,"UK: Past Masters Volume 1 US: The Beatles Second Album",124,13,"Merseybeat, Pop/Rock","Lennon and McCartney","Lennon, with McCartney",NA
"I'll Keep You Satisfied",1963,"",NA,NA,"Pop/Rock","McCartney, with Lennon","Lennon and/or McCartney",NA
"I'm a Loser",1964,"UK: Beatles for Sale US: Beatles '65",151,17,"Folk Rock, Country, Pop/Rock","Lennon","Lennon",NA
"I'm Down",1965,"Rock 'n' Roll Music",153,20,"Rock and Roll, Pop/Rock","McCartney","McCartney",NA
"I'm Gonna Sit Right Down and Cry (Over You)",1963,"Live at the BBC",121,NA,"Pop/Rock","Thomas, Biggs","Lennon",NA
"I'm Happy Just to Dance with You",1964,"UK: A Hard Day's Night US: Something New",118,5,"Rock, Pop/Rock","Lennon and McCartney","Harrison",NA
"I'm In Love",1963,"The Beatles Bootleg Recordings 1963",92,NA,"Rock and Roll, Pop/Rock","Lennon","Lennon",NA
"I'm Looking Through You",1965,"Rubber Soul",147,15,"Folk Rock, Pop/Rock","McCartney","McCartney, with Lennon",NA
"I'm Only Sleeping",1966,"UK: Revolver US: Yesterday and Today",182,10,"Psychedelic Rock, Psychedelic Folk, Pop/Rock","Lennon","Lennon",NA
"I'm So Tired",1968,"The Beatles",123,11,"Blues Rock, Pop/Rock","Lennon","Lennon",NA
"I'm Talking About You",1962,"Live! at the Star-Club in Hamburg, Germany; 1962",NA,NA,"Rock and Roll, Pop/Rock","Berry","Lennon",NA
"I'm Talking About You",1963,"On Air - Live at the BBC Volume 2",112,NA,"Pop/Rock","Berry","Lennon",NA
"I've Got a Feeling",1969,"Let It Be",217,12,"Blues Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA
"I've Just Seen a Face",1965,"UK: Help! US: Rubber Soul",127,10,"Folk Rock, Country, Pop/Rock","McCartney","McCartney",NA
"If I Fell",1964,"UK: A Hard Day's Night US: Something New",142,21,"Pop/Rock","Lennon","Lennon, with McCartney",NA
"If I Needed Someone",1965,"UK: Rubber Soul US: Yesterday and Today",143,13,"Folk Rock, Pop/Rock","Harrison","Harrison",NA
"If You've Got Trouble",1965,"Anthology 2",169,NA,"Rock, Pop/Rock","Lennon and McCartney","Starkey",NA
"In My Life",1965,"Rubber Soul",148,12,"Baroque Pop, Pop/Rock","Lennon and McCartney","Lennon",NA
"In Spite of All the Danger",1958,"Anthology 1",164,NA,"Skiffle, Blues, Rock and Roll, Pop/Rock","McCartney and Harrison","Lennon",NA
"It Won't Be Long",1963,"UK: With the Beatles US: Meet The Beatles!",133,13,"Rock, Pop/Rock","Lennon, with McCartney","Lennon",NA
"It's All Too Much",1967,"Yellow Submarine",388,11,"Psychedelic Rock, Acid Rock, Pop/Rock","Harrison","Harrison",NA
"It's Only Love",1965,"UK: Help! US: Rubber Soul",115,15,"Folk Rock, Pop/Rock","Lennon","Lennon",NA
"Jazz Piano Song",1969,"",NA,NA,"Boogie-Woogie","McCartney, Starkey","McCartney",NA
"Jessie's Dream",1967,"",NA,NA,"","Lennon, McCartney, Harrison, Starkey","N/A",NA
"Johnny B. Goode",1964,"Live at the BBC",161,NA,"Rock and Roll, Pop/Rock","Berry","Lennon",NA
"Julia",1968,"The Beatles",174,10,"Folk, Pop/Rock","Lennon","Lennon",NA
"Junk",1968,"Anthology 3",114,NA,"Folk, Pop/Rock","McCartney","McCartney",NA
"Kansas City/Hey, Hey, Hey, Hey",1964,"UK: Beatles for Sale US: Beatles VI",163,8,"R&B, Rock and Roll, Pop/Rock","Leiber, Stoller/Penniman","McCartney",NA
"Keep Your Hands Off My Baby",1963,"Live at the BBC",149,NA,"Pop/Rock","Goffin, King","Lennon",NA
"Komm Gib Mir Deine Hand",1964,"UK: Rarities US: Something New",146,8,"Rock and Roll, Pop/Rock","Lennon/McCartney/Nicolas/Hellmer","Lennon and McCartney",NA
"Lady Madonna",1968,"UK: 1967-1970 US: Hey Jude",136,21,"Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney",22
"Leave My Kitten Alone",1964,"Anthology 1",177,NA,"Rock and Roll, Pop/Rock","Turner, McDougall","Lennon",NA
"Lend Me Your Comb",1963,"Anthology 1",107,NA,"Pop/Rock","Twomey, Wise, Weisman","Lennon and McCartney",NA
"Let It Be",1969,"Let It Be",243,28,"Rock, Gospel, Pop/Rock","McCartney","McCartney",5
"Like Dreamers Do",1962,"Anthology 1",156,NA,"Rock, Merseybeat, Pop/Rock","McCartney","McCartney",NA
"Little Child",1963,"UK: With the Beatles US: Meet The Beatles!",108,10,"Rock and Roll, Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA
"Lonesome Tears in My Eyes",1963,"Live at the BBC",156,NA,"Pop/Rock","J. Burnette, D. Burnette, Burlison, Mortimer","Lennon",NA
"Long Tall Sally",1964,"UK: Rock 'n' Roll Music US: The Beatles Second Album",130,35,"Rock and Roll, Pop/Rock","Blackwell, Johnson, Penniman","McCartney",NA
"Long, Long, Long",1968,"The Beatles",184,6,"Psychedelic Folk, Pop/Rock","Harrison","Harrison",NA
"Looking Glass",1962,"",NA,NA,"Pop/Rock","McCartney","McCartney",NA
"Love Me Do",1962,"UK: Please Please Me US: The Early Beatles",142,56,"Merseybeat, R&B, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",16
"Love of the Loved",1962,"",122,NA,"Pop/Rock","McCartney, with Lennon","McCartney",NA
"Love You To",1966,"Revolver",181,8,"Indian Music, Raga Rock","Harrison","Harrison",NA
"Lovely Rita",1967,"Sgt. Pepper's Lonely Hearts Club Band",162,6,"Psychedelic Folk, Music Hall, Pop/Rock","McCartney","McCartney",NA
"Lucille",1963,"Live at the BBC",141,NA,"Rock and Roll, Pop/Rock","Penniman, Collins","McCartney",NA
"Lucy in the Sky with Diamonds",1967,"Sgt. Pepper's Lonely Hearts Club Band",208,5,"Psychedelic Rock, Pop/Rock","Lennon with McCartney","Lennon",NA
"Madman",1969,"",197,NA,"Rock, Pop/Rock","Lennon","Lennon",NA
"Maggie Mae",1969,"Let It Be",40,7,"Skiffle, Pop/Rock","Traditional, arr. Lennon, McCartney, Harrison, Starkey","Lennon",NA
"Magical Mystery Tour",1967,"Magical Mystery Tour",171,20,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon","McCartney",NA
"Mailman, Bring Me No More Blues",1969,"Anthology 3",116,NA,"Pop/Rock","Row, Katz, Roberts, Clayton","Lennon",NA
"Martha My Dear",1968,"The Beatles",148,6,"Music Hall, Pop/Rock","McCartney","McCartney",NA
"Matchbox",1964,"UK: Rock 'n' Roll Music US: Something New",117,24,"Rock and roll, Rockabilly, Pop/Rock","Perkins, Jefferson","Starkey (Best)",40
"Maxwell's Silver Hammer",1969,"Abbey Road",207,8,"Rock, Music Hall, Pop/Rock","McCartney","McCartney",NA
"Mean Mr. Mustard",1969,"Abbey Road",66,6,"Pop/Rock","Lennon","Lennon",NA
"Memphis, Tennessee",1963,"Live at the BBC",136,NA,"R&B, Rock and Roll, Pop/Rock","Berry","Lennon",NA
"Michelle",1965,"Rubber Soul",160,19,"Pop/Rock","McCartney, with Lennon","McCartney",NA
"Misery",1963,"UK: Please Please Me US: Rarities",107,23,"Pop/Rock","Lennon, with McCartney","Lennon, with McCartney",NA
"Money (That's What I Want)",1963,"UK: With the Beatles US: The Beatles Second Album",167,24,"Pop/Rock","Gordy, Bradford","Lennon",NA
"Moonlight Bay",1963,"Anthology 1",NA,NA,"Pop/Rock","Percy Wenrich, Edward Madden","Lennon, McCartney, Harrison, Eric Morecambe, Ernie Wise",NA
"Mother Nature's Son",1968,"The Beatles",168,10,"Folk, Pop/Rock","McCartney","McCartney",NA
"Mr. Moonlight",1964,"UK: Beatles for Sale US: Beatles '65",155,17,"Folk Rock, Pop/Rock","Johnson","Lennon",NA
"My Bonnie",1961,"Anthology 1",NA,13,"Rock and Roll, Pop/Rock","Traditional, arr. Sheridan","Sheridan",45
"No Reply",1964,"UK: Beatles for Sale US: Beatles '65",135,15,"Folk Rock, Pop/Rock","Lennon, with McCartney","Lennon, with McCartney",NA
"Norwegian Wood (This Bird Has Flown)",1965,"Rubber Soul",125,18,"Folk Rock, Raga Rock, Pop/Rock","Lennon, with McCartney","Lennon",NA
"Not a Second Time",1963,"UK: With the Beatles US: Meet The Beatles!",128,9,"Rock, Pop/Rock","Lennon","Lennon",NA
"Not Guilty",1968,"Anthology 3",215,NA,"Jazz-Pop, Pop/Rock","Harrison","Harrison",NA
"Nothin' Shakin' (But the Leaves on the Trees)",1963,"Live at the BBC",176,NA,"Pop/Rock","Fontaine","Harrison",NA
"Nowhere Man",1965,"UK: Rubber Soul US: Yesterday and Today",164,23,"Folk Rock, Pop/Rock","Lennon","Lennon",27
"Ob-La-Di, Ob-La-Da",1968,"The Beatles",187,16,"Ska, Pop/Rock","McCartney","McCartney",NA
"Octopus's Garden",1969,"Abbey Road",168,10,"Rock, Pop/Rock","Starkey, with uncredited assistance from Harrison","Starkey",NA
"Oh! Darling",1969,"Abbey Road",206,9,"Swamp Pop, Hard Rock, Pop/Rock","McCartney","McCartney",NA
"Old Brown Shoe",1969,"UK: 1967-1970 US: Hey Jude",196,13,"Blues Rock, Pop/Rock","Harrison","Harrison",NA
"One After 909",1969,"Let It Be",172,17,"Roots Rock, Pop/Rock","Lennon","Lennon, with McCartney",NA
"One and One Is Two",1964,"",NA,NA,"","McCartney","McCartney",NA
"Only a Northern Song",1967,"Yellow Submarine",207,9,"Psychedelic Rock, Pop/Rock","Harrison","Harrison",NA
"Ooh! My Soul",1963,"Live at the BBC",97,NA,"Pop/Rock","Penniman","McCartney",NA
"P.S. I Love You",1962,"UK: Please Please Me US: The Early Beatles",126,30,"Merseybeat, Pop/Rock","McCartney, with Lennon","McCartney",34
"Paperback Writer",1966,"UK: A Collection of Beatles Oldies US: Hey Jude",138,27,"Hard Rock, Power Pop, Psychedelic Rock, Pop/Rock","McCartney","McCartney",19
"Penny Lane",1966,"Magical Mystery Tour",183,22,"Progressive Pop, Baroque Pop, Psychedelic Pop, Psychedelic Rock, Pop/Rock","McCartney","McCartney",24
"Piggies",1968,"The Beatles",124,9,"Baroque Pop, Folk, Pop/Rock","Harrison","Harrison",NA
"Please Mr. Postman",1963,"UK: With the Beatles US: The Beatles Second Album",156,19,"Rock and Roll, Pop/Rock","Dobbins, Garrett, Holland, Bateman, Gorman","Lennon",NA
"Please Please Me",1962,"UK: Please Please Me US: The Early Beatles",120,35,"Merseybeat, Rock and Roll, Pop/Rock","Lennon","Lennon, with McCartney",18
"Polythene Pam",1969,"Abbey Road",72,8,"Pop/Rock","Lennon","Lennon",NA
"Rain",1966,"UK: Rarities US: Hey Jude",179,15,"Psychedelic Rock, Pop/Rock","Lennon","Lennon",42
"Real Love",1980,"Anthology 2",236,2,"Rock, Pop/Rock","Lennon, with McCartney, Harrison, Starkey","Lennon",47
"Revolution 1",1968,"The Beatles",201,7,"Hard rock, Pop/Rock","Lennon","Lennon",NA
"Revolution 9",1968,"The Beatles",502,7,"Avant-Garde, Musique Concrete, Experimental, Sound Collage, Pop/Rock","Lennon, with Ono and Harrison","N/A",NA
"Revolution",1968,"UK: 1967-1970 US: Hey Jude",201,23,"Hard rock, Pop/Rock","Lennon","Lennon",32
"Rip It Up/Shake, Rattle, and Roll/Blue Suede Shoes",1969,"Anthology 3",NA,NA,"Rock and Roll, Pop/Rock","Blackwell-Marascalco (""Rip It Up""), Calhoun (""Shake, Rattle, and Roll""), Perkins (""Blue Suede Shoes"")","Lennon and McCartney",NA
"Rock and Roll Music",1964,"UK: Beatles for Sale US: Beatles '65",150,25,"Rock and Roll, Pop/Rock","Berry","Lennon",NA
